관리번호,구분,관리기관,시설명,위치,출발 X,출발 Y,도착 X,도착 Y,총중량,폭제한,높이제한,길이제한,실제높이
791,교량,북부도로사업소,월계2교,노원구 월계동,204395.0513,558297.8135,558325.5214,204430.9456,32,2.5,4,16.7,
817,교량,북부도로사업소,월릉교,노원구 월계동 ~ 공릉동,206223.2444,557375.1831,557431.0732,206356.6024,40,2.5,4,16.7,
816,교량,북부도로사업소,월계1교,노원구 월계동 ~ 하계동,205526.3871,559207.1749,559280.398,205618.0044,32,2.5,4,16.7,
560,교량,노원,새싹교 ,노원구 중계동,206333.4328,561967.455,561972.8811,206370.8121,40,2.5,4,16.7,
561,교량,노원,염광교,노원구 중계동,206345.4907,561725.9966,561735.04,206388.8989,40,2.5,4,16.7,
562,교량,노원,물넘이교 ,노원구 중계동,206334.6386,561612.3514,561620.7919,206364.1803,32,2.5,4,16.7,
792,교량,북부도로사업소,당현2교,노원구 중계동,206045.5617,561173.7696,561232.649,206064.7683,40,2.5,4,16.7,
558,교량,노원,양지교,노원구 중계종 ~ 상계동,206242.0946,561444.1444,561473.0832,206291.5318,40,2.5,4,16.7,
279,터널,북부도로사업소,공릉터널,노원구 하계동 ~ 공릉동,207114.5875,559428.4334,559632.998,207270.5765,40,2.5,4,16.7,
862,교량,공단,하계교,노원구 하계동 ~ 월계동,205290.0845,559418.6051,559671.2833,205339.6721,40,2.5,4,16.7,
516,교량,도봉,세일교,도봉구 도봉동,202807.0779,564090.2743,564098.9594,202836.5315,32,2.5,4,16.7,
517,교량,도봉,제1무수교 ,도봉구 도봉동,203143.1507,564236.787,564249.2481,203175.2475,0,2.5,4,16.7,
518,교량,도봉,제3무수교,도봉구 도봉동,203288.5305,564294.1837,564320.6164,203299.1036,40,2.5,4,16.7,
519,교량,도봉,만세교,도봉구 도봉동,202598.2597,564154.0904,564155.6008,202625.8252,32,2.5,4,16.7,
520,교량,도봉,무수교,도봉구 도봉동,203531.7112,564305.4176,564331.4726,203567.9618,0,2.5,4,16.7,
521,교량,도봉,제2무수교,도봉구 도봉동,203715.6072,564371.8769,564397.5544,203737.5086,32,2.5,4,16.7,
522,교량,도봉,누원교,도봉구 도봉동,203838.708,564456.0839,564496.1105,203842.8618,32,2.5,4,16.7,
523,교량,도봉,누원1교 ,도봉구 도봉동,203928.2016,564537.27,564554.6401,203939.1523,32,2.5,4,16.7,
524,교량,도봉,신도봉교 ,도봉구 도봉동,204192.5285,564514.991,564556.9057,204208.3881,32,2.5,4,16.7,
525,교량,도봉,서원내다리 ,도봉구 도봉동,203597.4153,565148.6204,565175.8083,203616.2958,24,2.5,4,16.7,
526,교량,도봉,수원교 ,도봉구 도봉동,203832.6663,564806.5058,564839.3579,203836.82,0,2.5,4,16.7,
527,교량,도봉,상도교,도봉구 도봉동,204473.8478,565172.0322,565211.3036,204542.5728,40,2.5,4,16.7,
794,교량,북부도로사업소,제1도봉교,도봉구 도봉동,204384.8183,564420.0043,564476.0499,204419.4532,32,2.5,4,16.7,
786,교량,북부도로사업소,도봉교,도봉구 도봉동 ,204014.5397,564559.0162,564599.9484,204019.5775,32,2.5,4,16.7,
812,교량,북부도로사업소,노원교,도봉구 도봉동 ~ 노원구 상계동,204439.1836,564355.9599,564381.7825,204550.2563,32,2.5,4,16.7,
813,교량,북부도로사업소,상계교,도봉구 방학동,204472.4346,562455.6973,562475.1527,204622.4181,32,2.5,4,16.7,
785,교량,북부도로사업소,방학교,도봉구 방학동 ~ 도봉구 창동,203725.4957,562436.5266,562488.479,203734.9416,40,2.5,4,16.7,
534,교량,도봉,모래말2교,도봉구 쌍동,204116.4401,562470.4224,562509.3163,204128.5236,40,2.5,4,16.7,
528,교량,도봉,어울교 ,도봉구 쌍문동,203208.666,562359.5939,562384.1386,203209.0436,40,2.5,4,16.7,
529,교량,도봉,쌍문294교,도봉구 쌍문동,203140.3186,562319.5673,562336.9374,203151.6469,24,2.5,4,16.7,
530,교량,도봉,제일시장 앞교,도봉구 쌍문동,203287.2088,562458.1501,562458.5277,203316.2848,0,2.5,4,16.7,
531,교량,도봉,쌍문709교 ,도봉구 쌍문동,203457.8885,562445.8778,562466.6463,203458.6437,40,2.5,4,16.7,
532,교량,도봉,쌍문707교,도봉구 쌍문동,203609.3101,562443.9897,562465.5135,203609.6877,40,2.5,4,16.7,
537,교량,도봉,석천교,도봉구 쌍문동,201280.9677,562403.3967,562403.3967,201305.5123,40,2.5,4,16.7,
538,교량,도봉,우이천교 ,도봉구 쌍문동,201274.1707,562057.1284,562059.3941,201299.0929,40,2.5,4,16.7,
539,교량,도봉,백운교 ,도봉구 쌍문동,201247.738,561768.6345,561768.6345,201270.3946,40,2.5,4,16.7,
540,교량,도봉,쌍수교,도봉구 쌍문동,201256.8006,561652.3307,561653.0859,201280.2124,0,2.5,4,16.7,
541,교량,도봉,근화교 ,도봉구 쌍문동,201268.5065,561337.0264,561340.0473,201304.0019,40,2.5,4,16.7,
542,교량,도봉,쌍우교 ,도봉구 쌍문동,201276.0587,561097.6218,561121.4112,201320.9943,32,2.5,4,16.7,
796,교량,북부도로사업소,문이교,도봉구 쌍문동,201271.1408,562001.2289,562007.2113,201299.7933,40,2.5,4,16.7,
798,교량,북부도로사업소,쌍문교,도봉구 쌍문동,202208.4871,560760.9846,560798.1384,202231.7869,40,2.5,4,16.7,
533,교량,도봉,모래말본교  ,도봉구 창동,203944.6276,562486.2821,562515.7356,203947.2709,40,2.5,4,16.7,
535,교량,도봉,모래말1교,도봉구 창동,204309.7763,562407.7392,562439.4584,204311.6644,40,2.5,4,16.7,
536,교량,도봉,방학동725앞교,도봉구 창동,204469.1277,562348.0768,562380.1737,204473.2814,40,2.5,4,16.7,
543,교량,도봉,창번2교 ,도봉구 창동,203000.603,559863.5928,559883.2285,203050.4475,0,2.5,4,16.7,
549,교량,강북,번창교 ,도봉구 창동,202784.9877,560284.2501,560323.5216,202815.9517,32,2.5,4,16.7,
551,교량,강북,신창교,도봉구 창동,203430.7006,559261.6826,559292.6467,203481.3003,0,2.5,4,16.7,
814,교량,북부도로사업소,창동교,도봉구 창동 ~ 노원구 상계동,204725.5318,561479.5665,561496.5457,204857.1211,40,2.5,4,16.7,
815,교량,북부도로사업소,녹천교,도봉구 창동 ~ 노원구 상계동,204854.2912,560661.7319,560685.0784,205002.8598,40,2.5,4,16.7,
797,교량,북부도로사업소,모래말다리,도봉구 창동 ~ 도봉구 도봉동 ,204120.0187,562473.8378,562505.3241,204125.3714,40,2.5,4,16.7,
213,고가,성동도로사업소,신답고가,동대문구 답십리동,204358.7139,552326.0992,552429.0872,204441.028,32,2.5,4,16.7,
806,교량,북부도로사업소,영도교,동대문구 숭인동 ~ 성동구 황학동,201668.3799,552382.9257,552402.0274,201683.9443,40,2.5,4,16.7,
480,교량,동대문,안감교 ,동대문구 신설동 ~ 용두동,202350.825,553196.8537,553216.3435,202385.4038,32,2.5,4,16.7,
481,교량,동대문,용신1교,동대문구 용두동,202455.8189,552812.8715,552821.9877,202486.9398,32,2.5,4,16.7,
483,교량,동대문,용미교,동대문구 용두동,202445.9168,552559.0315,552562.175,202482.0674,24,2.5,4,16.7,
488,교량,동대문,용두1교,동대문구 용두동,203020.2396,552986.7087,552990.7953,203070.2218,32,2.5,4,16.7,
726,교량,성동도로사업소,동진교,동대문구 용두동,202463.4172,552709.4552,552709.4552,202498.6896,32,2.5,4,16.7,
734,교량,성동도로사업소,정릉천교,동대문구 용두동,203109.495,552518.4217,552542.4434,203163.6199,40,2.5,4,16.7,
886,교량,교량안전과,성북천교,동대문구 용두동,202434.8485,552348.8291,552361.6894,202470.8952,40,2.5,4,16.7,
885,교량,교량안전과,비우당교,동대문구 용두동 ~ 성동구 상왕십리동,202346.4104,552339.6432,552382.9753,202360.8545,40,2.5,4,16.7,
725,교량,성동도로사업소,고산자교,동대문구 용산동 ~ 성동구 마장동,203351.9928,552485.886,552554.9104,203355.9457,40,2.5,4,16.7,
729,교량,성동도로사업소,무학교,동대문구 용신동 ~ 성동구 왕십리도선동,202676.1158,552236.3185,552272.5032,202680.981,40,2.5,4,16.7,
210,고가,성동도로사업소,이문고가,동대문구 이문동,205930.2328,555573.4841,556129.8443,205976.5644,32,2.5,4,16.7,
887,교량,교량안전과,이화교,동대문구 이문동 ~ 중랑구 중화동,206295.8418,555769.596,555773.6504,206518.3307,40,2.5,4,16.7,
